Smokey Bay Air  	2E	75	185226	69	6932	/N	/N	2011
Friday Harbor Seaplanes	WST	77	97414	75	3273	/N	/N	2011
Tanana Air Service	Z3	70	362337	67	9376	/N	/N	2011
Grand Canyon Airlines 	YR	/N	/N	/N	/N	/N	/N	2011
Gem Air	22Q	/N	/N	/N	/N	/N	/N	2011
Arctic Transportation	7S	/N	/N	/N	/N	/N	/N	2011
Reeve Air Alaska 	RVQ	/N	/N	/N	/N	/N	/N	2011
40-Mile Air	Q5	79	79219	80	450	/N	/N	2011
Alaska Air Transit	2EQ	/N	/N	/N	/N	/N	/N	2011
Ellis Air Taxi  	ELL	/N	/N	/N	/N	/N	/N	2011
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2011
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2011
Delta Air Lines  	DL	2	1.68757E+11	1	116445312	2	36813427	2012
United Airlines	UA	1	1.79067E+11	3	92367487	1	37160163	2012
American Airlines	AA	3	1.26349E+11	4	86335102	3	24825067	2012
Southwest Airlines 	WN	4	85570154036	2	112234074	4	16410596	2012
JetBlue Airways	B6	6	33560987731	7	28934369	6	4982014	2012
Alaska Airlines  	AS	7	24392241032	11	18494624	7	4650001	2012
Spirit Airlines	NK	15	9621154349	14	10176191	12	1318388	2012
Frontier Airlines  	F9	13	9983573505	13	10312729	11	1433466	2012
SkyWest Airlines  	OO	10	14192078136	8	26162937	9	1930149	2012
Hawaiian Airlines  	HA	12	12207075268	16	9476251	8	1962570	2012
Allegiant Air	G4	18	6255982985	19	6645979	15	869236	2012
Republic Airline	YX	19	4902379349	15	9526896	19	630291	2012
Mesa Airlines  	YV	21	3597966065	17	7617820	20	547055	2012
Envoy Air	MQ	16	9618567675	10	18730932	13	1106968	2012
Endeavor 	9E	17	6969349512	12	14634133	16	781096	2012
PSA Airlines  	OH	29	1317249638	28	2786529	/N	/N	2012
Sun Country Airlines 	SY	26	1932124953	31	1456901	/N	/N	2012
Compass Airlines	CP	22	2960217136	25	4010963	/N	/N	2012
Horizon Air	QX	25	2090623002	18	6780906	/N	/N	2012
ExpressJet Airlines  	EV	9	15870817060	6	32376163	10	1593527	2012
GoJet Airlines   	G7	23	2144987318	26	3490036	/N	/N	2012
Air Wisconsin Airlines  	ZW	24	2092030902	21	6113805	18	668509	2012
Trans States Airlines	AX	30	704295621	30	1716093	/N	/N	2012
Piedmont Airlines	PT	/N	/N	/N	/N	/N	/N	2012
